ticker,close,date,high,low,month,open,volume,sector
ADANIENT,2897.4,2024-11-04 05:30:00,2943.0,2857.75,2024-11,2935.0,1059384,Conglomerate
ADANIENT,2821.5,2024-11-19 05:30:00,2894.8,2809.8,2024-11,2831.0,536296,Conglomerate
ADANIENT,2870.0,2024-11-12 05:30:00,2930.45,2855.0,2024-11,2910.0,597231,Conglomerate
ADANIENT,2970.1,2024-11-07 05:30:00,3045.0,2943.05,2024-11,3045.0,1285585,Conglomerate
ADANIENT,2949.5,2024-11-01 05:30:00,2975.6,2928.4,2024-11,2960.0,304673,Conglomerate
ADANIENT,2818.7,2024-11-18 05:30:00,2858.65,2793.3,2024-11,2826.8,489692,Conglomerate
ADANIENT,2816.7,2024-11-13 05:30:00,2889.0,2808.0,2024-11,2860.0,890146,Conglomerate
ADANIENT,2183.65,2024-11-21 05:30:00,2539.35,2155.05,2024-11,2539.35,21796668,Conglomerate
ADANIENT,2943.15,2024-09-19 05:30:00,2975.25,2890.35,2024-09,2975.05,1655401,Conglomerate
ADANIENT,2975.45,2024-09-06 05:30:00,3025.0,2968.0,2024-09,3019.0,1251165,Conglomerate
ADANIENT,2975.2,2024-09-17 05:30:00,2995.9,2952.5,2024-09,2990.05,698700,Conglomerate
ADANIENT,2964.15,2024-09-09 05:30:00,2972.5,2927.3,2024-09,2972.1,1523581,Conglomerate
ADANIENT,2986.4,2024-09-10 05:30:00,3007.4,2947.6,2024-09,2971.6,803782,Conglomerate
ADANIENT,3036.1,2024-09-03 05:30:00,3053.05,3023.8,2024-09,3037.0,1371577,Conglomerate
ADANIENT,3093.9,2024-09-24 05:30:00,3101.0,3040.25,2024-09,3055.0,1021918,Conglomerate
ADANIENT,2968.35,2024-09-13 05:30:00,3001.95,2956.05,2024-09,2972.0,815948,Conglomerate
ADANIENT,3012.35,2024-09-04 05:30:00,3025.0,2955.2,2024-09,3010.0,1212270,Conglomerate
ADANIENT,2937.85,2024-09-11 05:30:00,2992.95,2928.0,2024-09,2985.0,888628,Conglomerate
ADANIENT,3042.15,2024-09-02 05:30:00,3059.15,2997.6,2024-09,3021.1,1842658,Conglomerate
ADANIENT,3122.65,2024-09-26 05:30:00,3148.0,3085.0,2024-09,3085.0,1548019,Conglomerate
ADANIENT,3015.35,2024-09-05 05:30:00,3037.9,3002.0,2024-09,3025.0,734273,Conglomerate
ADANIENT,2956.3,2024-09-18 05:30:00,2984.75,2935.0,2024-09,2976.0,831891,Conglomerate
ADANIENT,3135.85,2024-09-30 05:30:00,3209.9,3120.4,2024-09,3129.0,1607429,Conglomerate
ADANIENT,3130.3,2024-09-27 05:30:00,3179.0,3116.0,2024-09,3122.0,2297441,Conglomerate
ADANIENT,3105.1,2024-09-25 05:30:00,3123.9,3080.2,2024-09,3108.0,913008,Conglomerate
ADANIENT,2984.9,2024-09-16 05:30:00,3026.4,2972.0,2024-09,2972.0,695162,Conglomerate
